"year","p50","weighted_avg_p","adjwage"
2019,10.9386683888029,10.945841724205,10.9350336402212
2023,12,11.7224598693848,11.9632254203681
2019,11.4766366211222,11.3319827483259,11.4586852783938
2023,12,12.2192798614502,12.1151581778261
2019,11.9548293386267,11.662548345474,11.8632999424552
2023,12.820499420166,12.6900998687744,12.8427611470001
2019,11.9548293386267,11.9452946252676,11.9550939999035
2023,13,13.1335643768311,13.0705699911009
2019,11.9548293386267,12.204131246384,12.0468880573517
2023,13.75,13.5670288848877,13.6923950688856
2019,12.4031354388252,12.4868775261776,12.4061281708073
2023,14,13.9564933776855,14.0037930629367
2019,12.8966362974211,12.7877951064344,12.9427474802851
2023,14.3500003814697,14.3059578704834,14.3710320400346
2019,13.1503122724894,13.0898790559964,13.1351843644786
2023,14.9571113586426,14.5874223327637,14.8776800918199
2019,13.1503122724894,13.3919630055585,13.276894982672
2023,15,14.7971378707886,14.9294344745449
2019,13.7480537394207,13.6940469551205,13.7039132965036
2023,15,14.9568534088135,14.9811888572699
2019,14.3218850004261,13.9630240026517,14.2024372373681
2023,15,15.1065689468384,15.0329432399949
2019,14.345795206352,14.1801171346331,14.2818867821844
2023,15,15.2562844848633,15.0846976227199
2019,14.345795206352,14.3841940485047,14.3613363270007
2023,15.3000001907349,15.430000038147,15.3297356921757
2019,14.345795206352,14.5882709623763,14.4407858718171
2023,15.75,15.6436000061035,15.7217355552227
2019,14.7136055894424,14.792347876248,14.7501021592419
2023,16,15.8771999740601,15.9506049010832
2019,14.9435366732834,15.0148192768269,14.9855263331003
2023,16,16.1107999420166,16.0471436403018
2019,15.4695486625383,15.2745897321731,15.3978675782814
2023,16.25,16.3443999099731,16.2258368146855
2019,15.5412781402147,15.5400985457335,15.5290716048532
2023,16.6399993896484,16.5779998779297,16.6285784414608
2019,15.5412781402147,15.8056073592939,15.660275631425
2023,17,16.8063999176025,16.9119941154554
2019,16.139019607146,16.0902438815545,16.0911159263873
2023,17,17.0247999572754,17.0144384699518
2019,16.4976647153252,16.376681581563,16.4989996523382
2023,17,17.2431999969482,17.1168828244482
2019,16.7367610740774,16.6583373315945,16.7030548425141
2023,17.5,17.4716000366211,17.4451161698801
2019,16.7367610740774,16.9371239025189,16.8395385835087
2023,17.8500003814697,17.6920000457764,17.846793421147
2019,17.2149537915819,17.2159104734433,17.2385956194722
2023,18,17.91,17.9600105850494
2019,17.6094630685484,17.4564416269673,17.5549038416115
2023,18,18.1279999542236,18.047967441358
2019,17.93224400794,17.6630211089495,17.8334371435048
2023,18.25,18.3559999084473,18.1962641130481
2019,17.93224400794,17.8409090278815,17.8990908078622
2023,18.5499992370605,18.5979998779297,18.5999905517451
2019,17.93224400794,18.0187969468134,17.9647444722195
2023,19,18.8559999084473,18.9326222157847
2019,17.93224400794,18.1966848657454,18.0303981365768
2023,19,19.1079999542236,19.0914310612294
2019,18.2311147414057,18.4102460092874,18.2487014348655
2023,19.25,19.36,19.3109551751251
2019,18.6495342242982,18.671626470184,18.6724017415131
2023,19.8500003814697,19.5996900177002,19.8670281886135
2019,19.1277269418027,18.9712623484809,19.057874844621
2023,20,19.8189800262451,19.9397332825468
2019,19.1277269418027,19.2708982267778,19.2031937881144
2023,20,20.0202700042725,20.0051256385931
2019,19.5413648395505,19.591574630249,19.5533522089589
2023,20,20.2465599822998,20.0705179946395
2019,20.0482493481257,19.9162199546085,19.9900751629665
2023,20.1922492980957,20.5128499603271,20.2224724313797
2019,20.3232098756654,20.2269976331552,20.2579232441656
2023,20.9400005340576,20.8137599945068,20.8791187846645
2019,20.3232098756654,20.5186476030018,20.4241550215685
2023,21,21.1334700012207,21.0677259207468
2019,20.8492230050217,20.8342072315257,20.79513011692
2023,21.625,21.4931800079346,21.6260897155735
2019,21.2497086933684,21.1555051270555,21.2403294271893
2023,22,21.845890045166,21.9183772695469
2019,21.5186928095281,21.4774088268491,21.4885498404303
2023,22,22.1853446960449,22.0538597637506
2019,21.5186928095281,21.7993483714299,21.6322087026738
2023,22.5,22.5324893188477,22.4636010849063
2019,22.1164342764594,22.1691072333651,22.0994888383753
2023,23,22.8792339324951,22.9271554749081
2019,22.7141757433907,22.5388660953003,22.6013982155892
2023,23.0750007629395,23.2259785461426,23.0634656298105
