"year","p50","weighted_avg_p","adjwage"
2019,33.4735221481547,33.3018614629042,33.4122511940828
2023,33.75,33.8917327880859,33.8467530065898
2019,34.4597964806726,34.0589422203551,34.2601142995855
2023,34.6149978637695,34.6022294616699,34.5329331120573
2019,34.4848992326312,34.7738023790497,34.489611640266
2023,35,35.3319862365723,35.0598507276193
2019,35.7582237276133,35.5225188056036,35.7175278971919
2023,36,36.1217430114746,35.9747345622308
2019,35.8644880158801,36.2869093457884,35.9631958069298
2023,37,36.946499786377,36.9084326859932
2019,37.0599709497428,37.1017193641156,37.1153009019814
2023,37.9807510375977,37.79458984375,37.9064982437161
2019,37.6781339124087,37.9643486997973,37.6762233189693
2023,38.461498260498,38.6662197875977,38.5092056210989
2019,38.7336488813127,38.91500553586,38.7069054725003
2023,39.5,39.5955297851562,39.5192961254686
2019,40.228002548641,39.9156811728396,40.2205314594865
2023,40.375,40.5648397827148,40.3827225122522
2019,40.7114237710271,40.9670983437966,40.7682624371714
2023,41.25,41.6141497802734,41.2528541943074
2019,41.8419026851934,42.0611345105323,41.8256295023257
2023,42.7999992370605,42.763459777832,42.8526424247939
2019,43.0971588536681,43.2149559513505,43.0075210546201
2023,43.75,43.9829998779297,43.7422811253952
2019,44.2328685529188,44.4365413692609,44.2818800222834
2023,45,45.2602299499512,45.0973541190142
2019,45.9663197191008,45.7379373489604,45.9051807362225
2023,46.75,46.6328399658203,46.7788116028154
2019,46.6238344206441,47.1230171340302,46.6507782407272
2023,48,48.1004499816895,47.9832777313875
2019,48.1184662727067,48.6589368907204,48.1678453510761
2023,49.375,49.6855200195313,49.3774241341782
2019,50.2102832222321,50.3180527179313,50.1332115711486
2023,50.4807510375977,51.4364300537109,50.4745261351437
2019,51.7273522692509,52.0979122120126,51.7255510504072
2023,52.8844985961914,53.4373399353027,52.9700150721288
2019,53.7967320238201,54.060058774567,53.8563048078207
2023,55.5,55.6994900512695,55.40404737175
2019,56.3072443607696,56.3150986559178,56.2358282150451
2023,57.6865005493164,58.2183067321777,57.71985622943
2019,57.4749316232383,58.8042620930744,57.4796704503924
2023,60.0960006713867,61.1507748413086,60.092850944068
2019,60.3419992625561,61.8384098551716,60.3181584016003
2023,63.461498260498,65.0926411437988,63.4468530419749
2019,63.7790126974112,65.8763265772847,63.700494830846
2023,67.3000030517578,70.5873114013672,67.1652264985025
2019,68.9494772984483,71.8505493275953,68.9306910382254
2023,70.6666641235352,77.982564239502,70.7121369588313
2019,71.8437431960423,80.1305791227127,71.8601824742849
2023,77.7142868041992,87.7076010131836,77.7248858037847
